Login, Hyrje
Logout, Dalje
Email, E-mail
Password, Fjalekalim
Forgot your password?, Harruat fjalekalimin?
Create an account, Krijo nje llogari
Register, Regjistrohu
Full Name, Emri i plote
Full name, Emri i plote
SIGN IN, HYNI
Order History, Historia e porosive
Account Details, Detajet e llogarise
You have not placed any orders yet, Nuk keni bere asnje porosi ende
My Account, Llogaria ime
Already have an account?, Keni nje llogari?
Contact information, Informacioni i kontaktit
City, Qyteti
Account Information, Informacioni i llogarise
Address, Adresa
Postcode, Kodi postar
Postcode is required, Kodi postar eshte i detyrueshem
Telephone is required, Telefoni eshte i detyrueshem
Telephone, Telefoni
Full name is required, Emri i plote eshte i detyrueshem
Country is required, Shteti eshte i detyrueshem
Country, Shteti
Province is required, Provinca eshte e detyrueshme
Province, Provinca
Billing Address, Adresa e fatures
Shipping Address, Adresa e transportit
Create A New Account, Krijo nje llogari te re
Contact, Kontakt
Customer information, Informacioni i klientit
