Total, Totali
Order, Porosia
Sku, Sku
Continue to shipping, Vazhdo tek transporti
Continue shopping, Vazhdo me blerjen
CONTINUE SHOPPING, VAZHDO ME BLERJEN
Shopping cart, Shporta
Product, Produkti
Price, Çmimi
Quantity, Sasia
Remove, Hiq
Qty, Sasia
Sub total, Nëntotali
Discount(${coupon}), Zbritje (${coupon})
Order summary, Përmbledhja e porosisë
Taxes and shipping calculated at checkout, Taksa dhe transporti llogariten në pagesë
CHECKOUT, PAGESA
Change, Ndrysho
Payment Method, Metoda e pagesës
Shipping Method, Metoda e transportit
No payment methods available, Nuk ka metoda pagese të disponueshme
Place Order, Vendos porosinë
My billing address is same as shipping address, Adresa ime e faturimit është e njëjtë me adresën e transportit
${count} items, ${count} artikuj
Discount,Zbritja
Shipping, Transporti
No tax, Pa taksa
Tax, Taksë
Sorry, there is no available method for your address, Na vjen keq, nuk ka metoda të disponueshme për adresën tuaj
Please enter a shipping address in order to see shipping quotes, Ju lutemi shkruani një adresë transporti për të parë ofertat e transportit
Continue to payment, Vazhdo tek pagesa
No payment method available, Nuk ka metoda pagese të disponueshme
Ship to, Transporti tek
Shipment, Transporti
Thank you ${name}!, Faleminderit ${name}!
Contact information, Informacioni i kontaktit
Order #${orderNumber}, Porosia #${orderNumber}
ADD TO CART, SHTO NË SHPORTË
Please select variant options, Ju lutemi zgjidhni opsionet e variantit
VIEW CART (${count}), SHIKO SHPORTËN (${count})
JUST ADDED TO YOUR CART, SAPO U SHTUA NË SHPORTËN TUAJ
Promotion code?, Kodi i promovimit?
Enter coupon code, Vendosni kodin e kuponit
Apply, Apliko
Your cart is empty!, Shporta juaj është e zbrazët!
